Leto,Moski,Zenske,Otroci 0-19,Mladi 19-30,Zreli 30-64,Stari 64+
1991,4965,4095,1998,2595,3450,97
1992,2055,1793,740,850,1872,95
1993,638,752,329,302,709,50
1994,460,523,174,233,506,41
1995,2202,1170,455,668,1902,242
1996,1757,1228,493,921,1311,61
1997,4174,1273,550,1549,3125,136
1998,5131,1577,628,1959,3886,159
1999,1732,874,312,614,1518,82
2000,2376,1194,539,875,1940,216
2001,3503,1308,406,1701,2450,166
2002,4596,2673,579,2464,3800,274
2003,3444,2423,475,1816,3192,227
2004,6061,2208,616,2916,4258,298
2005,6659,1946,674,3068,4491,230
2006,10725,3024,1190,5103,7131,325
2007,10696,4247,1159,5036,7858,542
2008,8190,3919,975,2874,7298,760
2009,14816,3972,1155,6261,10363,699
2010,11586,4351,1037,4700,8857,790
2011,8151,3873,872,2914,7004,782
2012,8699,5679,1327,2913,8582,1038
2013,7902,5482,1307,2930,7707,828
2014,8609,5727,1501,3392,7856,861
2015,8976,5937,1640,3580,8013,915
2016,9328,6244,1760,3921,8311,798
2017,10694,6861,1837,4334,9622,873
2018,8521,5006,1466,3250,7488,718
2019,9904,5202,2103,3671,8379,953
2020,12225,5520,2157,4747,9860,981
