"Odseljeni prebivalci, stari 15 ali veè let, po izobrazbi, državi prihodnjega prebivališèa, spolu in državljanstvu, Slovenija, letno"

"SPOL","DRŽAVA PRIHODNJEGA PREBIVALIŠÈA","2011 Državljani RS Osnovnošolska ali manj","2011 Državljani RS Srednješolska","2011 Državljani RS Višješolska, visokošolska","2012 Državljani RS Osnovnošolska ali manj","2012 Državljani RS Srednješolska","2012 Državljani RS Višješolska, visokošolska","2013 Državljani RS Osnovnošolska ali manj","2013 Državljani RS Srednješolska","2013 Državljani RS Višješolska, visokošolska","2014 Državljani RS Osnovnošolska ali manj","2014 Državljani RS Srednješolska","2014 Državljani RS Višješolska, visokošolska","2015 Državljani RS Osnovnošolska ali manj","2015 Državljani RS Srednješolska","2015 Državljani RS Višješolska, visokošolska","2016 Državljani RS Osnovnošolska ali manj","2016 Državljani RS Srednješolska","2016 Državljani RS Višješolska, visokošolska","2017 Državljani RS Osnovnošolska ali manj","2017 Državljani RS Srednješolska","2017 Državljani RS Višješolska, visokošolska","2018 Državljani RS Osnovnošolska ali manj","2018 Državljani RS Srednješolska","2018 Državljani RS Višješolska, visokošolska","2019 Državljani RS Osnovnošolska ali manj","2019 Državljani RS Srednješolska","2019 Državljani RS Višješolska, visokošolska","2020 Državljani RS Osnovnošolska ali manj","2020 Državljani RS Srednješolska","2020 Državljani RS Višješolska, visokošolska"
"Moški","....Bosna in Hercegovina",49,66,16,64,104,19,59,80,17,42,46,15,48,59,5,29,54,12,44,77,18,30,47,4,32,79,9,25,39,6
"Moški","....Èrna gora",3,7,2,5,14,6,3,11,2,1,5,4,1,3,4,4,5,0,0,6,1,0,3,3,1,2,0,0,4,2
"Moški","....Kosovo",8,8,4,21,17,3,18,19,7,5,10,5,13,12,10,5,7,7,4,14,8,4,5,5,5,8,3,6,9,3
"Moški","....Severna Makedonija",18,11,9,18,21,6,14,27,3,5,18,7,8,15,4,8,12,4,9,18,10,4,10,4,7,17,7,4,10,3
"Moški","....Srbija",42,56,25,51,102,34,46,84,34,22,52,16,24,56,29,23,67,16,20,66,25,9,38,16,27,64,26,13,31,12
"Moški","....Avstrija",82,161,36,156,315,75,159,444,101,225,659,152,188,714,190,179,754,189,221,727,219,125,530,158,145,512,116,96,389,103
"Moški","....Bolgarija",1,1,0,0,3,1,0,5,2,0,4,1,0,2,1,0,2,1,0,3,2,1,1,1,5,10,0,0,0,1
"Moški","....Francija",8,15,9,15,28,21,10,33,12,8,21,10,9,27,15,8,23,17,12,20,18,5,16,16,6,15,11,6,12,14
"Moški","....Hrvaška",65,151,37,94,154,42,86,178,52,69,139,41,52,155,39,50,127,35,53,142,68,48,88,38,52,134,46,57,148,55
"Moški","....Italija",35,55,12,42,71,25,26,58,19,22,60,21,13,61,23,18,60,21,23,70,34,14,54,22,33,60,41,25,61,42
