"Odseljeni prebivalci po državi prihodnjega prebivališèa, starostnih skupinah in državljanstvu, Slovenija, letno"

"DRŽAVLJANSTVO","DRŽAVA PRIHODNJEGA PREBIVALIŠÈA","2011 0-14","2011 15-19","2011 20-24","2011 25-29","2011 30-34","2011 35-39","2011 40-44","2011 45-49","2011 50-54","2011 55-59","2011 60-64","2011 65 +","2012 0-14","2012 15-19","2012 20-24","2012 25-29","2012 30-34","2012 35-39","2012 40-44","2012 45-49","2012 50-54","2012 55-59","2012 60-64","2012 65 +","2013 0-14","2013 15-19","2013 20-24","2013 25-29","2013 30-34","2013 35-39","2013 40-44","2013 45-49","2013 50-54","2013 55-59","2013 60-64","2013 65 +","2014 0-14","2014 15-19","2014 20-24","2014 25-29","2014 30-34","2014 35-39","2014 40-44","2014 45-49","2014 50-54","2014 55-59","2014 60-64","2014 65 +","2015 0-14","2015 15-19","2015 20-24","2015 25-29","2015 30-34","2015 35-39","2015 40-44","2015 45-49","2015 50-54","2015 55-59","2015 60-64","2015 65 +","2016 0-14","2016 15-19","2016 20-24","2016 25-29","2016 30-34","2016 35-39","2016 40-44","2016 45-49","2016 50-54","2016 55-59","2016 60-64","2016 65 +","2017 0-14","2017 15-19","2017 20-24","2017 25-29","2017 30-34","2017 35-39","2017 40-44","2017 45-49","2017 50-54","2017 55-59","2017 60-64","2017 65 +","2018 0-14","2018 15-19","2018 20-24","2018 25-29","2018 30-34","2018 35-39","2018 40-44","2018 45-49","2018 50-54","2018 55-59","2018 60-64","2018 65 +","2019 0-14","2019 15-19","2019 20-24","2019 25-29","2019 30-34","2019 35-39","2019 40-44","2019 45-49","2019 50-54","2019 55-59","2019 60-64","2019 65 +","2020 0-14","2020 15-19","2020 20-24","2020 25-29","2020 30-34","2020 35-39","2020 40-44","2020 45-49","2020 50-54","2020 55-59","2020 60-64","2020 65 +"
"Državljani RS","....Bosna in Hercegovina",26,3,10,19,17,12,8,17,33,33,13,22,36,8,20,20,30,22,26,40,51,33,26,37,54,8,32,35,26,28,22,22,37,35,10,34,33,6,9,18,16,16,14,11,21,21,26,17,43,9,8,13,18,12,13,14,14,16,40,31,31,7,4,5,6,14,9,9,17,18,27,23,20,8,5,12,6,16,15,11,20,27,46,47,17,5,10,8,5,8,8,7,4,22,28,29,10,8,15,7,15,12,6,14,15,15,21,42,27,6,3,5,7,7,6,4,4,14,22,38
"Državljani RS","....Èrna gora",5,1,2,4,3,1,4,1,3,1,1,2,3,4,5,5,3,5,2,2,9,4,8,6,11,2,2,2,3,4,4,1,9,2,0,3,3,0,3,2,1,2,2,0,4,3,1,1,6,1,0,2,0,3,1,2,1,0,1,2,3,2,1,2,0,1,0,0,2,2,1,5,5,0,0,1,0,1,4,3,0,2,1,2,4,0,1,0,1,2,2,0,1,2,1,2,4,0,0,1,0,0,0,0,3,2,0,0,3,0,2,2,0,1,0,0,1,1,1,4
"Državljani RS","....Kosovo",3,1,1,0,4,3,5,2,3,7,1,2,11,10,1,5,7,7,6,8,9,7,3,3,18,12,10,9,6,2,5,2,8,5,3,2,6,1,3,2,2,2,5,3,2,3,2,3,20,10,4,2,3,9,7,9,1,1,2,1,11,4,4,0,1,3,8,2,4,1,2,2,6,2,3,1,1,6,6,4,6,3,0,2,7,3,2,1,4,1,2,1,2,1,1,2,7,0,0,0,4,2,5,2,2,1,0,3,1,2,1,1,2,1,3,1,2,0,2,9
"Državljani RS","....Severna Makedonija",9,6,8,7,3,1,11,4,6,2,1,11,16,5,6,11,5,8,5,6,4,9,4,6,16,7,11,8,5,3,10,5,6,2,5,9,12,5,2,7,6,6,1,3,1,5,2,8,22,10,6,5,7,4,6,1,2,3,0,5,5,6,5,1,8,2,7,2,3,0,1,6,14,5,11,8,6,5,4,5,2,4,4,6,5,5,2,1,2,5,2,1,1,1,4,4,9,2,10,6,5,5,3,1,3,1,1,8,13,2,4,4,10,1,2,2,3,1,2,2
"Državljani RS","....Srbija",16,4,11,9,17,15,15,16,18,24,12,62,46,17,10,35,37,34,30,20,28,26,38,53,44,17,27,35,35,27,17,28,28,34,31,43,29,4,15,10,22,17,10,14,9,14,23,29,35,1,6,12,22,19,17,15,12,22,27,48,30,9,15,12,20,16,14,17,12,11,20,42,22,3,11,14,10,16,18,7,16,10,22,40,37,5,10,4,18,11,17,2,11,6,11,28,17,4,9,14,13,13,24,14,10,14,14,48,18,5,11,3,11,8,11,9,8,2,9,26
"Državljani RS","....Avstrija",116,19,30,65,103,67,55,44,33,34,31,33,195,57,74,142,174,122,92,113,69,74,57,61,251,57,100,219,215,194,124,105,83,57,52,72,427,67,175,393,368,234,173,146,94,84,51,58,402,75,199,399,387,246,177,126,125,55,30,52,405,88,216,465,366,263,183,150,139,47,44,38,393,118,267,436,377,249,199,161,120,93,47,32,279,72,165,273,241,200,145,104,85,60,26,43,295,81,134,246,206,181,163,110,83,61,35,35,249,66,134,203,183,150,117,93,59,57,18,46
"Državljani RS","....Bolgarija",0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,2,1,0,0,2,0,0,0,1,4,0,0,1,2,3,1,0,0,1,0,1,1,0,0,1,0,1,2,1,0,0,0,1,3,0,0,1,0,4,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,1,6,2,3,1,2,0,2,0,3,0,1,0,0,1,1,0,0,0,0,1
"Državljani RS","....Francija",13,1,4,11,12,12,3,4,2,3,2,7,16,1,5,13,27,17,10,14,3,6,8,21,23,5,9,15,24,9,12,5,7,4,2,16,14,0,6,20,15,8,8,6,3,4,2,17,24,4,3,26,20,15,12,8,4,2,2,13,19,2,7,23,18,19,6,6,4,0,5,9,24,4,13,22,28,13,13,8,1,1,5,17,2,4,12,17,14,6,7,9,4,2,1,7,16,1,14,22,8,5,6,3,6,1,0,7,7,9,7,16,16,12,6,3,2,0,0,9
"Državljani RS","....Hrvaška",62,17,54,34,40,27,32,33,35,33,52,78,62,31,58,51,55,55,43,53,57,54,38,88,108,30,49,70,70,72,45,47,48,63,58,59,105,32,47,50,43,37,44,37,37,40,33,82,86,27,43,61,38,43,34,32,30,39,30,99,72,21,45,46,43,30,41,22,27,34,32,76,94,29,30,54,42,46,45,34,32,31,58,125,62,14,26,30,41,40,30,25,24,25,35,76,82,17,26,57,55,41,25,38,35,32,35,108,81,17,40,37,44,62,43,42,37,50,47,94
"Državljani RS","....Italija",50,16,13,23,26,30,28,26,9,8,19,33,50,15,25,30,44,35,44,29,26,18,29,24,46,9,18,25,35,21,24,30,17,19,18,19,47,5,12,24,28,45,32,21,17,10,16,29,38,9,24,27,28,24,26,16,13,22,19,28,33,12,21,39,26,35,19,19,23,13,9,17,65,12,29,40,33,45,39,23,19,13,5,24,29,9,24,22,26,33,21,19,15,9,8,20,29,18,25,27,24,31,41,41,21,21,12,31,58,15,30,27,28,32,48,40,29,15,15,25
