,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Skupaj
Ajdovšèina,97,121,85,69,79,147,113,121,88,159,1079
Ankaran/Ancarano,-,-,-,-,52,55,59,35,56,44,301
Apaèe,7,8,27,16,18,17,22,5,5,19,144
Beltinci,18,35,24,25,34,25,58,28,32,27,306
Benedikt,9,22,6,16,17,16,20,9,11,14,140
Bistrica ob Sotli,7,10,5,2,3,2,9,3,1,1,43
Bled,48,52,62,55,57,61,72,29,50,67,553
Bloke,2,5,1,4,3,7,3,1,5,12,43
Bohinj,16,14,20,17,24,10,17,31,16,22,187
Borovnica,23,15,17,14,23,35,38,22,28,25,240
Bovec,25,14,16,21,18,21,25,8,27,26,201
Braslovèe,25,36,14,18,20,19,27,5,24,12,200
Brda,8,13,11,30,23,16,23,18,20,27,189
Brezovica,58,56,52,61,62,53,85,58,61,94,640
Brežice,149,231,170,196,157,191,202,131,244,204,1875
Cankova,4,5,20,7,10,15,21,12,9,11,114
Celje,374,406,267,458,399,466,648,479,642,648,4787
Cerklje na Gorenjskem,28,27,19,29,32,23,23,39,26,36,282
Cerknica,68,96,61,78,89,63,73,51,89,63,731
Cerkno,10,20,12,26,12,20,11,6,6,8,131
Cerkvenjak,7,13,7,10,20,20,11,6,8,19,121
Cirkulane,15,38,24,29,29,30,22,23,34,28,272
Èrenšovci,8,90,19,10,23,25,29,19,19,18,260
Èrna na Koroškem,5,7,15,10,9,10,13,4,16,19,108
Èrnomelj,85,90,74,67,92,77,107,69,111,71,843
Destrnik,10,19,11,21,23,11,14,6,4,9,128
Divaèa,33,34,16,36,35,39,39,44,35,54,365
Dobje,1,0,3,2,7,3,1,1,3,6,27
Dobrepolje,23,12,13,11,11,10,22,19,14,22,157
Dobrna,8,6,6,9,2,10,10,5,7,4,67
Dobrova - Polhov Gradec,22,20,45,29,25,35,36,23,10,31,276
Dobrovnik/Dobronak,6,25,13,5,16,20,11,4,11,3,114
Dol pri Ljubljani,17,24,12,17,18,32,33,29,29,26,237
Dolenjske Toplice,8,7,3,11,12,10,15,6,16,20,108
Domžale,200,203,172,205,231,279,282,147,196,229,2144
Dornava,5,17,16,25,31,17,17,10,8,20,166
Dravograd,29,34,48,62,42,62,54,41,53,43,468
Duplek,14,29,43,31,20,24,28,13,32,51,285
Gorenja vas - Poljane,5,12,10,13,16,6,21,13,11,19,126
Gorišnica,22,17,34,40,19,20,25,23,27,30,257
Gorje,11,17,15,13,14,10,19,13,7,10,129
Gornja Radgona,25,40,57,54,51,60,40,42,42,25,436
Gornji Grad,1,8,7,14,2,5,8,4,9,4,62
Gornji Petrovci,5,15,12,9,7,14,9,13,7,12,103
Grad,6,14,8,10,8,15,6,6,12,4,89
Grosuplje,101,114,106,90,114,116,161,143,164,207,1316
Hajdina,23,22,30,29,31,19,21,22,12,51,260
Hoèe - Slivnica,48,53,58,75,66,95,106,64,121,174,860
Hodoš/Hodos,1,3,1,1,1,3,8,2,2,3,25
Horjul,9,6,2,11,2,4,11,10,7,6,68
Hrastnik,37,62,46,62,47,40,60,51,30,33,468
Hrpelje - Kozina,40,30,40,44,35,44,41,31,28,40,373
Idrija,58,56,48,55,43,62,65,57,47,70,561
Ig,31,19,30,31,37,34,33,37,39,53,344
Ilirska Bistrica,75,68,66,81,88,124,129,76,88,71,866
Ivanèna Gorica,44,57,40,51,67,64,70,46,81,80,600
Izola/Isola,177,198,185,172,134,149,179,188,163,217,1762
Jesenice,195,248,277,414,368,384,285,179,195,272,2817
Jezersko,3,0,2,1,6,3,4,2,6,2,29
Juršinci,11,33,19,19,16,9,8,7,6,9,137
Kamnik,134,146,109,163,197,174,210,170,186,218,1707
Kanal,21,23,19,24,24,18,24,13,25,20,211
Kidrièevo,17,28,47,49,47,25,21,29,27,41,331
Kobarid,19,14,18,15,23,12,24,15,21,39,200
Kobilje,3,20,3,0,4,3,1,1,6,3,44
Koèevje,57,82,79,99,105,86,109,61,82,85,845
Komen,25,20,30,23,20,20,25,15,29,27,234
Komenda,13,15,18,22,26,22,32,23,22,19,212
Koper/Capodistria,488,488,495,681,540,492,557,527,509,619,5396
Kostanjevica na Krki,4,4,4,4,19,13,2,1,9,5,65
Kostel,10,5,3,9,6,6,8,5,1,2,55
