,2011H1,2011H2,2012H1,2012H2,2013H1,2013H2,2014H1,2014H2,2015H1,2015H2,2016H1,2016H2,2017H1,2017H2,2018H1,2018H2,2019H1,2019H2,2020H1,2020H2,Skupaj
Ajdovšèina,18939,18938,18958,19016,18955,19024,18848,18892,18959,19007,19047,19061,19093,19174,19130,19154,19249,19364,19418,19671,191301
Ankaran/Ancarano,-,-,-,-,-,-,-,-,3219,3237,3235,3227,3229,3205,3209,3216,3206,3215,3224,3253,31353
Apaèe,3637,3620,3633,3605,3610,3619,3623,3605,3591,3580,3581,3564,3544,3558,3546,3510,3516,3532,3533,3541,35734
Beltinci,8333,8323,8335,8352,8302,8343,8334,8329,8264,8267,8261,8258,8233,8257,8183,8159,8104,8098,8059,8044,82430
Benedikt,2395,2441,2439,2432,2430,2469,2464,2464,2461,2460,2491,2506,2486,2505,2514,2559,2577,2584,2615,2611,25031
Bistrica ob Sotli,1436,1431,1421,1410,1404,1408,1390,1382,1382,1374,1365,1368,1353,1351,1346,1350,1327,1333,1336,1341,13748
Bled,8122,8141,8177,8191,8171,8203,8192,8145,8127,8088,8035,7998,7981,7914,7873,7835,7835,7846,7868,7983,80344
Bloke,1576,1580,1585,1590,1584,1582,1569,1559,1545,1518,1538,1541,1522,1529,1532,1529,1555,1567,1564,1603,15598
Bohinj,5257,5223,5198,5202,5206,5197,5176,5176,5146,5152,5139,5127,5149,5138,5125,5103,5105,5118,5145,5360,51796
Borovnica,3984,3995,3993,3992,3992,4065,4153,4211,4250,4277,4275,4295,4376,4408,4412,4421,4483,4547,4579,4625,42836
Bovec,3256,3213,3186,3200,3195,3181,3147,3140,3134,3130,3124,3098,3082,3066,3049,3052,3048,3074,3073,3193,31347
Braslovèe,5291,5352,5378,5417,5409,5429,5442,5438,5447,5470,5473,5528,5556,5567,5524,5528,5523,5584,5639,5640,54953
Brda,5751,5747,5761,5763,5734,5751,5707,5705,5662,5659,5659,5664,5625,5624,5623,5613,5602,5632,5619,5613,56771
Brezovica,11129,11246,11382,11531,11620,11693,11761,11827,11884,11920,11974,12017,12092,12126,12186,12323,12412,12527,12671,12771,119981
Brežice,24301,24354,24306,24301,24285,24311,24252,24230,24184,24225,24254,24216,24204,24143,24086,24089,24084,24157,24051,24250,242276
Cankova,1889,1899,1890,1896,1889,1881,1850,1845,1834,1831,1814,1792,1794,1784,1755,1748,1735,1724,1734,1746,18146
Celje,48592,48556,48653,48682,48675,48773,48868,48883,48773,48901,49077,49221,49380,49376,49377,49538,49473,49602,49540,49069,490601
Cerklje na Gorenjskem,7105,7122,7188,7229,7243,7317,7347,7356,7364,7406,7506,7532,7569,7585,7619,7608,7632,7712,7769,7796,74663
Cerknica,11226,11310,11333,11350,11268,11316,11293,11348,11387,11419,11402,11469,11494,11519,11491,11502,11554,11625,11580,11668,114526
Cerkno,4777,4784,4804,4799,4786,4792,4730,4702,4687,4669,4644,4620,4602,4592,4588,4584,4580,4577,4547,4588,46707
Cerkvenjak,2035,2005,2012,2030,2009,2000,2015,2032,2058,2053,2044,2043,2074,2069,2037,2048,2058,2080,2083,2170,20530
Cirkulane,2299,2294,2296,2298,2312,2303,2343,2336,2339,2312,2287,2301,2344,2331,2324,2348,2391,2362,2345,2374,23259
Èrenšovci,4137,4148,4144,4109,4052,4022,4021,4030,4016,3989,4002,3980,3951,3953,3926,3958,3949,3958,3968,3995,40142
Èrna na Koroškem,3545,3541,3528,3502,3473,3461,3406,3378,3362,3342,3337,3324,3308,3319,3314,3301,3303,3281,3285,3271,33720
Èrnomelj,14717,14750,14714,14689,14629,14659,14586,14586,14591,14523,14407,14400,14365,14310,14313,14293,14299,14307,14241,14318,144835
Destrnik,2647,2647,2631,2600,2582,2615,2609,2580,2564,2561,2539,2548,2544,2538,2554,2583,2585,2617,2643,2640,25929
Divaèa,3873,3889,3916,3907,3896,3944,3934,3955,3953,3931,3955,3989,4000,4067,4085,4093,4157,4195,4213,4255,40225
Dobje,977,973,975,971,968,971,968,980,994,980,981,987,977,966,965,962,966,965,949,942,9697
Dobrepolje,3884,3927,3933,3958,3938,3942,3954,3934,3936,3915,3898,3897,3870,3891,3881,3847,3856,3838,3878,3894,39043
Dobrna,2192,2187,2190,2187,2195,2194,2215,2195,2164,2188,2192,2230,2226,2219,2208,2221,2226,2240,2234,2241,22102
Dobrova - Polhov Gradec,7325,7402,7449,7465,7539,7540,7485,7535,7573,7605,7582,7600,7618,7661,7661,7623,7664,7752,7800,7830,76013
Dobrovnik/Dobronak,1335,1344,1338,1338,1319,1287,1279,1285,1280,1273,1277,1266,1274,1282,1291,1290,1284,1287,1284,1273,12925
Dol pri Ljubljani,5458,5516,5558,5616,5666,5735,5777,5823,5861,5906,5934,5955,5961,5982,6008,6131,6218,6295,6310,6315,59274
Dolenjske Toplice,3423,3396,3389,3395,3398,3389,3385,3398,3388,3385,3407,3412,3447,3435,3436,3471,3489,3525,3553,3570,34376
Domžale,33936,34195,34216,34346,34455,34634,34753,34949,35039,35159,35278,35458,35513,35659,35675,35917,36264,36429,36675,36648,353394
Dornava,2932,2953,2970,2942,2907,2916,2892,2898,2916,2911,2882,2894,2905,2896,2885,2897,2892,2894,2902,2910,29111
Dravograd,9038,9046,9069,9056,8989,8934,8910,8888,8879,8879,8885,8932,8856,8857,8799,8787,8783,8849,8884,8891,89119
Duplek,6683,6704,6699,6716,6746,6757,6765,6788,6776,6755,6726,6777,6803,6822,6890,6889,6937,6955,6996,6978,68141
Gorenja vas - Poljane,7287,7279,7283,7302,7307,7320,7330,7361,7380,7439,7429,7481,7500,7527,7541,7532,7539,7560,7557,7631,74432
Gorišnica,4036,4032,4044,4043,4035,4036,4002,3969,3980,3972,3978,3982,3968,3993,4025,4054,4069,4097,4112,4152,40330
Gorje,2935,2911,2908,2869,2874,2866,2846,2840,2815,2795,2822,2828,2816,2807,2792,2776,2762,2751,2738,2759,28202
Gornja Radgona,8586,8632,8596,8617,8576,8499,8517,8522,8504,8473,8467,8471,8447,8427,8403,8401,8392,8401,8417,8439,84882
Gornji Grad,2665,2658,2663,2664,2650,2620,2628,2605,2573,2548,2547,2551,2547,2541,2543,2535,2511,2506,2476,2490,25718
Gornji Petrovci,2170,2168,2146,2145,2136,2122,2100,2100,2078,2069,2057,2044,2058,2045,2013,1988,1985,1992,1995,2000,20673
Grad,2257,2246,2226,2204,2216,2209,2207,2196,2192,2172,2166,2141,2110,2104,2105,2093,2076,2063,2042,2055,21483
