Leto,Bosna in Hercegovina,Črna gora,Kosovo,Severna Makedonija,Srbija,Avstrija,Bolgarija,Francija,Hrvaska,Italija,Nemcija,Slovaška,Zdruzeno kraljestvo,Rusija,Svica,Ukrajina
2011,49,10,6,24,41,217,0,28,145,78,285,0,80,2,83,1
2012,78,17,23,27,99,447,3,46,195,114,594,5,134,5,197,2
2013,101,9,37,31,114,591,3,53,219,87,509,2,164,10,200,1
2014,49,6,8,20,51,1003,1,41,172,69,631,3,222,9,245,2
2015,48,3,19,28,41,1060,1,53,169,88,735,7,306,9,414,2
2016,22,5,9,20,56,1135,2,50,155,98,810,12,362,5,457,2
2017,31,1,7,30,38,1198,6,67,155,114,799,3,424,14,406,1
2018,28,2,10,10,37,751,3,47,111,81,538,5,255,6,316,1
2019,45,1,4,23,40,667,7,45,155,94,483,7,240,3,287,1
2020,21,4,6,20,30,586,1,48,138,100,370,7,163,7,238,0
2011,116,11,21,25,100,264,2,26,212,120,524,9,55,11,93,11
2012,198,30,40,36,176,527,2,58,300,181,1157,2,110,9,199,2
2013,154,20,25,31,165,615,5,39,333,129,784,5,102,20,184,6
2014,109,12,17,18,87,782,4,31,228,141,583,5,129,7,246,4
2015,109,8,29,16,112,759,5,43,208,120,608,9,135,19,276,4
2016,94,6,20,15,90,826,2,40,186,118,584,9,124,13,268,0
2017,135,11,25,24,89,869,2,41,246,144,638,10,171,9,287,8
2018,77,8,8,14,58,620,2,29,179,105,463,1,109,12,204,0
2019,83,5,12,14,89,633,10,21,206,167,413,8,84,4,199,9
2020,57,4,9,11,47,494,2,23,281,179,365,7,74,5,142,3
2011,22,2,2,11,62,33,2,7,78,33,152,0,4,0,17,0
2012,37,6,3,6,53,61,1,21,88,24,295,1,11,0,28,1
2013,34,3,2,9,43,72,1,16,59,19,183,0,8,1,17,1
2014,17,1,3,8,29,58,1,17,82,29,136,0,6,0,24,0
2015,31,2,1,5,48,52,0,13,99,28,150,0,2,0,29,0
2016,23,5,2,6,42,38,0,9,76,17,120,2,2,1,37,1
2017,47,2,2,6,40,32,0,17,125,24,145,0,7,1,18,0
2018,29,2,2,4,28,43,0,7,76,20,98,0,2,0,21,0
2019,42,0,3,8,48,35,0,7,108,31,123,0,1,2,14,0
2020,38,4,9,2,26,46,1,9,94,25,176,0,9,0,14,0
