Leto,Pomurska,Podravska,Koroçka,Savinjska,Zasavska,Posavska,JV Slovenija,Osrednjeslovenska,Gorenjska,Primorsko-kraçka,Goriçka,Obalno-kraçka
2011,287,789,140,492,76,129,243,1447,512,109,177,278
2012,896,1807,202,877,120,246,379,2007,755,166,318,418
2013,548,1569,277,695,154,201,349,2302,863,132,245,454
2014,468,1425,322,789,154,223,354,2382,929,176,323,584
2015,527,1566,294,918,204,262,428,2462,941,183,360,509
2016,584,1516,295,901,201,226,440,2545,1012,218,386,494
2017,664,1480,346,1106,275,290,548,2859,983,234,468,618
2018,480,1128,216,689,192,167,313,1916,676,118,258,442
2019,434,1160,203,705,128,290,302,1842,558,159,327,490
2020,338,935,189,679,120,169,291,1645,526,136,344,439
